campany,location,duration
IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
34ML -,"Heliopolis, Cairo, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Chaizer -,"Riyadh, Saudi Arabia ",Full TimeWork From Home
Edentech -,"Heliopolis, Cairo, Egypt ",Full Time
Premier Services and Recruitment -,"Maadi, Cairo, Egypt ",Full Time
RDI -,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / Project
Moltaqa -,"Mansoura, Dakahlia, Egypt ",Full Time
Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Worley Parsons -,"Doha, Qatar ",Full Time
NMC Hospital -,"Abu Dhabi, United Arab Emirates ",Full Time
Nahdet Misr Publishing Group -,"Giza, Egypt ",Full Time
Salem Ventures -,"New Cairo, Cairo, Egypt ",Full Time
DISCOVERED -,"Riyadh, Saudi Arabia ",Full Time
Onecard -,"Nasr City, Cairo, Egypt ",Full Time
Ejadah Management Consultancy -,"Riyadh, Saudi Arabia ",Full Time
EPTI  -,"Dokki, Giza, Egypt ",Full Time
Software House Solution  -,"Heliopolis, Cairo, Egypt ",Full Time
Dakkaken -,"Cairo, Egypt ",Full Time
"Procore Technologies, Inc -","Cairo, Egypt ",Full TimeWork From Home
AFFSQUARE -,"Sheraton, Cairo, Egypt ",Full Time
Qawafil For Real Estate Investment -,"New Cairo, Cairo, Egypt ",Full Time
Neworleansbio -,"Cairo, Egypt ",Full Time
Future Group -,"Giza, Egypt ",Full TimeWork From Home
Mindshare -,"Riyadh, Saudi Arabia ",Full Time
Publicis Groupe -,"Riyadh, Saudi Arabia ",Full Time
Publicis Group -,"Riyadh, Saudi Arabia ",Full Time
Confidential -,"Mohandessin, Giza, Egypt ",Full Time
Mace Group -,"Abu Dhabi, United Arab Emirates ",Full Time
GroupM Danmark -,"Riyadh, Saudi Arabia ",Full Time
EgyBell Outsourcing and Payroll Solutions -,"Cairo, Egypt ",Full Time
EGID company -,"New Cairo, Cairo, Egypt ",Full Time
Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time
ECS ME -,"Dubai, United Arab Emirates ",Full Time
qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time
qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time
ATW Ltd. -,"Dokki, Giza, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Kerzner International Management -,"Dubai, United Arab Emirates ",Full Time
Thaka International -,"Badr City, Cairo, Egypt ",Internship
Mace Group -,"Riyadh, Saudi Arabia ",Full Time
Next Academy -,"Cairo, Egypt ",Full Time
Rawabi Holding -,"Riyadh, Saudi Arabia ",Full Time
International Advanced  -,"Nasr City, Cairo, Egypt ",Full Time
Sceel.io -,"Maadi, Cairo, Egypt ",Full Time
NEXT-Munich GmbH -,"Downtown, Cairo, Egypt ",Full TimeWork From Home
Off-Beat -,"Heliopolis, Cairo, Egypt ",Full Time
WUZZUF -,"Maadi, Cairo, Egypt ",Full Time
إن هاوس  -,"Cairo, Egypt ",Full Time
Bekia -,"Cairo, Egypt ",Full Time
Envisions Employment Solutions -,"Cairo, Egypt ",Full Time
Transguard group -,"Dubai, United Arab Emirates ",Full Time
"Passport Global, Inc -","Cairo, Egypt ",Full TimeWork From Home
iCAREER -,"Smouha, Alexandria, Egypt ",Full Time
WSC -,"Dokki, Giza, Egypt ",Full Time
Solaimaneyah -,"6th of October, Giza, Egypt ",Full Time
Global Brands -,"New Cairo, Cairo, Egypt ",Full Time
Global Brands -,"New Cairo, Cairo, Egypt ",Full Time
Greens247 -,"Cairo, Egypt ",Full TimeWork From Home
Indigen Middle-East -,"Heliopolis, Cairo, Egypt ",Full Time
egabi solutions -,"Heliopolis, Cairo, Egypt ",Full Time
Easa Saleh Al Gurg -,"Dubai, United Arab Emirates ",Full Time
Ship To Box -,"Sheikh Zayed, Giza, Egypt ",Full TimeShift Based
softprimes -,"Cairo, Egypt ",Full Time
Houya Arrow -,"Cairo, Egypt ",Full Time
Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time
CrossWorkers -,"New Cairo, Cairo, Egypt ",Full Time
Filkhedma -,"New Cairo, Cairo, Egypt ",Full Time
Zedny -,"Cairo, Egypt ",Full Time
LINK Development -,"Cairo, Egypt ",Full Time
Ejada  -,"Heliopolis, Cairo, Egypt ",Full Time
Nile Creations -,"Heliopolis, Cairo, Egypt ",Full Time
Sceel.io -,"Maadi, Cairo, Egypt ",Full Time
GetTechForce.com -,"Cairo, Egypt ",Full Time
